url,city,family_edition,value,you_save,discount_pct,num_sold,sold_out,started_at,weekday_start,duration,category,likes
http://livingsocial.com/deals/29068-helicopter-discovery-package,Boston,0,285,142,50,152,0,4/1/2011,Fri,3,Entertainment,34
http://livingsocial.com/deals/33182-lasik-vision-correction-and-follow-up-appointments,Boston,0,5400,2700,50,31,0,4/1/2011,Fri,3,Health,13
http://livingsocial.com/deals/35380-50-to-spend-on-office-supplies-and-business-cards,Boston,0,50,40,80,5590,0,4/4/2011,Mon,1,Retail,162
http://livingsocial.com/deals/34439-paintball-harpoon-brewery-tour-bbq,Boston,0,130,65,50,263,0,4/4/2011,Mon,2,Getaway,46
http://livingsocial.com/deals/28918-40-to-spend-on-custom-designed-girls-clothing,Boston,1,40,20,50,105,0,4/4/2011,Mon,7,Retail,9
http://livingsocial.com/deals/32318-21-days-of-unlimited-fitness-classes-and-tanning,Boston,0,100,80,80,400,0,4/5/2011,Tue,1,Health,16
http://livingsocial.com/deals/36497-50-or-100-to-spend-on-accessories,Boston,0,50,25,50,59,0,4/5/2011,Tue,1,Retail,2
http://livingsocial.com/deals/28200-75-pay-35-or-100-pay-50-to-spend-on-gifts,Boston,0,75,40,53,271,0,4/6/2011,Wed,1,Retail,12
http://livingsocial.com/deals/34196-50-to-spend-on-american-cuisine,Boston,0,50,25,50,806,0,4/6/2011,Wed,2,Restaurant,26
https://livingsocial.com/deals/31382-cape-cod-golf-getaway,Boston,0,450,212,47,73,0,4/6/2011,Wed,7,Getaway,36
http://livingsocial.com/deals/35409-intro-to-motorcycling-course,Boston,0,100,50,50,105,0,4/7/2011,Thu,1,Entertainment,8
http://livingsocial.com/deals/21389-30-to-spend-on-food-and-non-alcoholic-drink,Boston,0,30,15,50,327,0,4/7/2011,Thu,1,Restaurant,10
http://livingsocial.com/deals/36227-signature-facial-and-european-eye-treatment,Boston,0,85,45,53,58,0,4/8/2011,Fri,3,Beauty,3
http://livingsocial.com/deals/33698-bartending-course,Boston,0,447,300,67,502,0,4/8/2011,Fri,3,Services,43
http://livingsocial.com/deals/33072-one-month-of-unlimited-fitness-classes,Boston,0,55,28,51,59,0,4/11/2011,Mon,1,Health,2
https://livingsocial.com/deals/21338-20-to-spend-on-cookies-brownies-and-toffee,Boston,0,20,10,50,154,0,4/11/2011,Mon,1,Specialty Food,5
http://livingsocial.com/deals/34964-in-studio-or-on-location-photo-shoot-and-prints,Boston,1,225,146,65,10,0,4/11/2011,Mon,7,Services,4
https://livingsocial.com/deals/24602-mini-makeover-or-salon-package,Boston,0,80,40,50,135,0,4/12/2011,Tue,1,Beauty,5
